,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Qatar,"2,500","2,750","3,000","2,950","3,500","3,000","4,000","3,750","3,875","5,500","4,300","6,000","7,000","6,500","6,000","5,850","5,700","5,600","4,000","3,760","3,585","3,450","3,425","3,330","4,500","4,500","4,500","4,500","4,500","4,500","2,993","2,993","3,121","3,121","3,500","3,700","3,700","3,700","3,700","3,700","13,157","15,207","15,207","26,089","25,494","25,288","26,185","25,090","25,405","25,382","25,382","25,382","25,244","25,244","25,244","25,244","25,244","25,244","25,244","25,244","25,244","25,244","25,244"
Saudi Arabia,"53,000","55,000","55,750","65,000","66,750","66,200","72,500","81,450","84,500","146,500","141,350","139,609","146,000","143,227","173,150","170,567","167,428","164,070","168,940","166,480","168,030","167,850","165,484","168,848","171,710","171,490","169,744","169,585","254,989","260,050","260,342","260,936","261,203","261,355","261,374","261,450","261,444","261,541","261,542","262,784","262,766","262,697","262,790","262,730","264,310","264,211","264,251","264,209","264,063","264,590","264,516","265,405","265,850","265,789","266,578","266,455","266,208","266,260","267,026","267,073","267,082","267,192","267,192"
Syrian Arab Rep.,50,100,100,300,500,"1,200","1,500","1,500","1,500","1,500","1,200","1,900","2,000","2,000","1,500","2,240","2,200","2,150","2,080","2,000","1,940","1,900","1,842","1,593","1,699","1,802","1,742","2,409","2,599","2,321","2,244","2,511","2,698","2,505","2,640","2,558","2,450","2,345","2,300","2,300","2,325","2,325","2,280","2,395","3,159","3,000","3,000","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500"
United Arab Emirates,250,"3,500","5,000","7,500","7,700","10,000","12,500","15,000","19,000","17,000","12,783","20,502","22,768","25,500","33,920","32,200","31,200","32,425","31,316","29,411","30,410","32,176","32,354","32,340","32,490","32,990","97,203","98,105","98,105","98,105","98,100","98,100","98,100","98,100","98,100","98,100","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","97,800","105,000","107,000","111,000","113,000"
Others,260,254,253,254,259,238,207,201,175,347,638,634,378,363,338,314,291,271,251,241,226,210,198,186,171,656,641,"1,196","2,133","2,118","2,104","2,100","2,087","2,060","2,200","2,200","2,200","2,043","2,014","2,003","2,553","2,529","2,984","2,979","3,128","3,049","2,908","2,798","2,798","3,128","3,128","3,138","3,138","3,139","3,140","3,140","3,139","3,139","3,122","3,109","3,201","3,184","3,184"
Africa ,"8,000","9,610","12,275","16,325","19,515","23,196","32,610","42,437","44,568","48,385","51,107","54,635","59,248","61,569","60,479","59,086","55,019","53,718","52,884","53,221","52,643","56,012","57,699","57,324","56,602","56,218","56,766","57,290","57,815","58,073","58,599","60,243","61,139","61,203","63,924","71,515","74,085","74,405","77,022","84,570","93,307","102,160","107,198","112,136","113,462","117,771","119,134","122,865","123,724","124,048","126,023","125,741","128,491","128,793","127,952","128,574","128,875","127,677","125,861","124,117","123,449","119,099","119,050"
Algeria,"5,200","5,500","6,500","7,000","7,500","7,400","7,250","6,900","7,000","8,000","8,098","9,840","9,750","7,640","7,700","7,370","6,800","6,600","6,300","8,440","8,200","8,080","9,440","9,220","9,000","8,820","8,800","8,564","9,200","9,236","9,200","9,200","9,200","9,200","9,979","9,979","10,800","11,200","11,314","11,314","11,314","11,314","11,314","11,800","11,350","12,270","12,200","12,200","12,200","12,200","12,200","12,200","12,200","12,200","12,200","12,200","12,200","12,200","12,200","12,200","12,200","12,200","12,200"
Angola,30,30,50,200,200,196,193,500,500,500,500,803,"1,200","1,500","1,439","1,380","1,331","1,267","1,207","1,200","1,375","1,108","1,457","1,715","2,147","2,018","1,400","2,000","2,000","2,074","1,625","1,450","1,334","1,901","2,965","3,125","3,695","3,900","4,030","5,050","5,972","6,500","8,900","8,801","9,035","9,050","9,330","9,500","9,500","9,500","9,055","9,055","9,055","9,011","8,423","9,524","9,523","8,384","8,160","7,783","7,231","2,516","2,550"
Congo,10,10,10,10,10,10,10,10,10,10,10,330,500,500,500,500,486,474,462,445,660,733,754,723,691,656,720,720,710,830,830,830,830,830,830,"1,506","1,506","1,506","1,506","1,506","1,506","1,506","1,515","1,785","1,784","1,905","1,940","1,940","1,940","2,000","2,000","2,000","2,000","2,673","2,867","2,982","2,982","2,982","2,982","1,947","1,811","1,811","1,811"
Egypt,550,710,720,"1,500","1,500","2,000",944,"1,400","2,100","5,000","4,500","4,000","5,200","5,125","3,700","3,900","1,950","2,450","3,200","3,100","2,880","3,990","3,820","3,820","3,250","3,203","3,309","3,335","3,331","3,318","3,453","3,376","3,439","3,100","3,265","3,115","3,000","2,924","3,757","3,767","3,627","3,668","3,525","3,525","3,620","3,720","3,720","4,070","4,340","4,300","4,400","4,300","4,200","3,900","3,681","3,473","3,384","3,325","3,325","3,075","3,075","3,300","3,300"
